Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-150,2001,3.7,2,0.54,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-317,1998,17.2,53,3.08,33,3,4,4,7,2,10,0.58,8,0,0,0,1,1,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-319,1997,16.9,45,2.67,36,0,1,5,1,2,3,0.18,3,0,0,0,0,0,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,23.2,41,1.76,36,1,1,1,0,2,2,0.09,2,0,0,0,0,0,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,13.5,22,1.63,16,4,0,2,0,0,4,0.30,3,0,0,1,0,0,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,26.4,41,1.55,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,14.1,17,1.21,11,0,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,14.4,15,1.04,14,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,0.2,2,12.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,30.2,104,3.44,63,13,5,12,9,2,13,0.43,9,2,1,1,0,0,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-305,2003,6.3,16,2.54,11,0,4,0,1,0,2,0.32,2,0,0,0,0,0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-317,2002,26.1,13,0.50,11,1,0,0,1,0,2,0.08,1,1,0,0,0,0,Matches
