Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-168,2000,11.7,266,348,76.4,4343,1093,138,159,86.8,111,129,86.0,14,29,48.3,4,2.0,1.0,+2.0,23,25,6,0,35,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-035,1991,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-074,1993,16.0,829,912,90.9,14352,5362,353,364,97.0,424,439,96.6,48,91,52.7,0,0.1,0.5,-0.1,1,32,2,0,30,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-211,1988,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-010,2001,35.0,1572,1834,85.7,30030,9975,524,597,87.8,907,981,92.5,128,216,59.3,3,1.8,1.6,+1.2,10,102,7,2,117,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-127,2004,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-073,2003,32.0,2211,2468,89.6,40277,14134,763,822,92.8,1289,1352,95.3,134,235,57.0,1,1.1,1.2,-0.1,14,144,7,3,125,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-096,1997,31.3,1158,1508,76.8,20150,6955,507,598,84.8,521,612,85.1,106,233,45.5,3,4.1,3.7,-1.1,48,150,26,11,153,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-225,1996,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-261,1992,9.7,370,477,77.6,6056,2289,188,211,89.1,149,186,80.1,26,62,41.9,0,0.6,0.9,-0.6,6,35,12,7,33,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-355,1999,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-146,1989,7.5,415,509,81.5,7803,3045,189,206,91.7,173,198,87.4,51,96,53.1,0,1.1,1.3,-1.1,7,43,4,1,28,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-292,1998,30.2,1569,1783,88.0,24756,7156,788,839,93.9,686,761,90.1,65,114,57.0,1,2.1,2.4,-1.1,19,112,12,3,107,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-174,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-348,1999,26.9,743,1033,71.9,11781,4055,422,496,85.1,208,274,75.9,79,175,45.1,6,7.3,5.0,-1.3,51,89,54,10,131,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-213,1998,7.3,101,141,71.6,1400,254,61,76,80.3,31,43,72.1,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8,Matches
